"geographicAreaFS","Geographic Area","measuredItemFS","Item","measuredElementFS","Element","timePointYears","Year","Value","Status"
2,"Afghanistan",866,"Cattle",11,"Initial Existence",2013,2013,5235000,
2,"Afghanistan",866,"Cattle",11,"Initial Existence",2012,2012,5244000,
2,"Afghanistan",866,"Cattle",11,"Initial Existence",2011,2011,5524000,
2,"Afghanistan",866,"Cattle",11,"Initial Existence",2010,2010,5673000,
2,"Afghanistan",866,"Cattle",11,"Initial Existence",2009,2009,4721000,
2,"Afghanistan",866,"Cattle",11,"Initial Existence",2008,2008,4745000,
2,"Afghanistan",866,"Cattle",11,"Initial Existence",2007,2007,4357000,
2,"Afghanistan",866,"Cattle",11,"Initial Existence",2006,2006,4110000,
2,"Afghanistan",866,"Cattle",11,"Initial Existence",2005,2005,3723000,
2,"Afghanistan",866,"Cattle",11,"Initial Existence",2004,2004,3494000,
2,"Afghanistan",866,"Cattle",11,"Initial Existence",2003,2003,3829000,
2,"Afghanistan",866,"Cattle",11,"Initial Existence",2002,2002,3715000,
2,"Afghanistan",866,"Cattle",11,"Initial Existence",2001,2001,2249000,
2,"Afghanistan",866,"Cattle",11,"Initial Existence",2000,2000,2900000,"F"
2,"Afghanistan",866,"Cattle",131,"Reemployment Same Sector",2013,2013,744500,"F"
2,"Afghanistan",866,"Cattle",131,"Reemployment Same Sector",2012,2012,772000,"F"
2,"Afghanistan",866,"Cattle",131,"Reemployment Same Sector",2011,2011,766700,"F"
2,"Afghanistan",866,"Cattle",131,"Reemployment Same Sector",2010,2010,727800,"F"
2,"Afghanistan",866,"Cattle",131,"Reemployment Same Sector",2009,2009,750000,"F"
2,"Afghanistan",866,"Cattle",131,"Reemployment Same Sector",2008,2008,739000,"F"
2,"Afghanistan",866,"Cattle",131,"Reemployment Same Sector",2007,2007,761100,"F"
2,"Afghanistan",866,"Cattle",131,"Reemployment Same Sector",2006,2006,651700,"F"
2,"Afghanistan",866,"Cattle",131,"Reemployment Same Sector",2005,2005,784000,"F"
2,"Afghanistan",866,"Cattle",131,"Reemployment Same Sector",2004,2004,829000,"F"
2,"Afghanistan",866,"Cattle",131,"Reemployment Same Sector",2003,2003,761000,"F"
2,"Afghanistan",866,"Cattle",131,"Reemployment Same Sector",2002,2002,833000,"F"
2,"Afghanistan",866,"Cattle",131,"Reemployment Same Sector",2001,2001,600000,"F"
2,"Afghanistan",866,"Cattle",131,"Reemployment Same Sector",2000,2000,700000,"F"
2,"Afghanistan",867,"Beef and Veal",31,"Actual Producing Factor",2013,2013,744500,"C"
2,"Afghanistan",867,"Beef and Veal",31,"Actual Producing Factor",2012,2012,772000,"C"
2,"Afghanistan",867,"Beef and Veal",31,"Actual Producing Factor",2011,2011,766700,"C"
2,"Afghanistan",867,"Beef and Veal",31,"Actual Producing Factor",2010,2010,727800,"C"
2,"Afghanistan",867,"Beef and Veal",31,"Actual Producing Factor",2009,2009,750000,"C"
2,"Afghanistan",867,"Beef and Veal",31,"Actual Producing Factor",2008,2008,739000,"C"
2,"Afghanistan",867,"Beef and Veal",31,"Actual Producing Factor",2007,2007,761100,"C"
2,"Afghanistan",867,"Beef and Veal",31,"Actual Producing Factor",2006,2006,651700,"C"
2,"Afghanistan",867,"Beef and Veal",31,"Actual Producing Factor",2005,2005,784000,"C"
2,"Afghanistan",867,"Beef and Veal",31,"Actual Producing Factor",2004,2004,829000,"C"
2,"Afghanistan",867,"Beef and Veal",31,"Actual Producing Factor",2003,2003,761000,"C"
2,"Afghanistan",867,"Beef and Veal",31,"Actual Producing Factor",2002,2002,833000,"C"
2,"Afghanistan",867,"Beef and Veal",31,"Actual Producing Factor",2001,2001,600000,"C"
2,"Afghanistan",867,"Beef and Veal",31,"Actual Producing Factor",2000,2000,700000,"C"
2,"Afghanistan",867,"Beef and Veal",41,"Productivity Indicator",2013,2013,1799.86568,"C"
2,"Afghanistan",867,"Beef and Veal",41,"Productivity Indicator",2012,2012,1800.51814,"C"
2,"Afghanistan",867,"Beef and Veal",41,"Productivity Indicator",2011,2011,1799.92174,"C"
