,Season,Daynum,Wloc,Numot,Larger_id_win,Bteam,Steam,Bscore,Sscore,B_or_for,B_dr_for,B_ast_for,B_to_for,B_stl_for,B_blk_for,B_pf_for,B_or_against,B_dr_against,B_ast_against,B_to_against,B_stl_against,B_blk_against,B_pf_against,B_Game_cnt,B_Points_againt,B_Points_for,B_Win_count,S_or_for,S_dr_for,S_ast_for,S_to_for,S_stl_for,S_blk_for,S_pf_for,S_or_against,S_dr_against,S_ast_against,S_to_against,S_stl_against,S_blk_against,S_pf_against,S_Game_cnt,S_Points_againt,S_Points_for,S_Win_count,R_or_for,R_dr_for,R_ast_for,R_to_for,R_stl_for,R_blk_for,R_pf_for,R_or_against,R_dr_against,R_ast_against,R_to_against,R_stl_against,R_blk_against,R_pf_against,R_Game_cnt,R_Points_againt,R_Points_for,R_Win_count,Bseed,Team_x,Sseed,Team_y
0,1985,136,N,0,False,1234,1116,54,63,,,,,,,,,,,,,,,30,1778,2092,20.0,,,,,,,,,,,,,,,33,2036,2156,21.0,,,,,,,,,,,,,,,0.9090909090909091,0.8732809430255403,0.9703153988868275,0.9523809523809523,X08,1234,X09,1116
1,1985,138,N,0,True,1385,1116,68,65,,,,,,,,,,,,,,,30,1932,2284,27.0,,,,,,,,,,,,,,,33,2036,2156,21.0,,,,,,,,,,,,,,,0.9090909090909091,0.9489194499017681,1.059369202226345,1.2857142857142858,X01,1385,X09,1116
2,1985,152,N,0,False,1385,1207,59,77,,,,,,,,,,,,,,,30,1932,2284,27.0,,,,,,,,,,,,,,,27,1622,2045,25.0,,,,,,,,,,,,,,,1.1111111111111112,1.1911220715166462,1.1168704156479217,1.08,X01,1385,W01,1207
3,1985,136,N,0,False,1250,1207,43,68,,,,,,,,,,,,,,,29,2036,1907,11.0,,,,,,,,,,,,,,,27,1622,2045,25.0,,,,,,,,,,,,,,,1.0740740740740742,1.2552404438964242,0.9325183374083129,0.44,W16,1250,W01,1207
4,1985,143,N,0,False,1260,1207,53,65,,,,,,,,,,,,,,,30,2372,2575,25.0,,,,,,,,,,,,,,,27,1622,2045,25.0,,,,,,,,,,,,,,,1.1111111111111112,1.4623921085080147,1.2591687041564792,1.0,W04,1260,W01,1207
5,1985,154,N,0,True,1437,1207,66,64,,,,,,,,,,,,,,,29,1937,2073,19.0,,,,,,,,,,,,,,,27,1622,2045,25.0,,,,,,,,,,,,,,,1.0740740740740742,1.1942046855733661,1.0136919315403423,0.76,Z08,1437,W01,1207
6,1985,138,N,0,False,1396,1207,46,63,,,,,,,,,,,,,,,29,1672,1903,24.0,,,,,,,,,,,,,,,27,1622,2045,25.0,,,,,,,,,,,,,,,1.0740740740740742,1.030826140567201,0.930562347188264,0.96,W08,1396,W01,1207
7,1985,145,N,0,False,1210,1207,54,60,,,,,,,,,,,,,,,31,1908,2198,24.0,,,,,,,,,,,,,,,27,1622,2045,25.0,,,,,,,,,,,,,,,1.1481481481481481,1.1763255240443897,1.0748166259168703,0.96,W02,1210,W01,1207
8,1985,144,N,0,True,1385,1246,86,70,,,,,,,,,,,,,,,30,1932,2284,27.0,,,,,,,,,,,,,,,28,1771,1837,16.0,,,,,,,,,,,,,,,1.0714285714285714,1.0909090909090908,1.2433315187806206,1.6875,X01,1385,X12,1246
9,1985,136,N,0,False,1449,1246,58,66,,,,,,,,,,,,,,,31,1816,2019,22.0,,,,,,,,,,,,,,,28,1771,1837,16.0,,,,,,,,,,,,,,,1.1071428571428572,1.02540937323546,1.0990745781164943,1.375,X05,1449,X12,1246
10,1985,138,N,0,False,1424,1246,61,64,,,,,,,,,,,,,,,30,2177,2480,27.0,,,,,,,,,,,,,,,28,1771,1837,16.0,,,,,,,,,,,,,,,1.0714285714285714,1.2292490118577075,1.3500272182906914,1.6875,X04,1424,X12,1246
11,1985,136,N,0,True,1385,1380,83,59,,,,,,,,,,,,,,,30,1932,2284,27.0,,,,,,,,,,,,,,,28,2175,2374,18.0,,,,,,,,,,,,,,,1.0714285714285714,0.8882758620689655,0.962089300758214,1.5,X01,1385,X16,1380
12,1985,146,N,0,True,1385,1301,69,60,,,,,,,,,,,,,,,30,1932,2284,27.0,,,,,,,,,,,,,,,29,1893,2146,20.0,,,,,,,,,,,,,,,1.0344827586206897,1.0206022187004755,1.06430568499534,1.35,X01,1385,X03,1301
13,1985,137,N,0,False,1305,1301,56,65,,,,,,,,,,,,,,,28,2095,2185,19.0,,,,,,,,,,,,,,,29,1893,2146,20.0,,,,,,,,,,,,,,,0.9655172413793104,1.1067089276281035,1.0181733457595528,0.95,X14,1305,X03,1301
14,1985,139,N,0,False,1431,1301,73,86,,,,,,,,,,,,,,,29,1916,2134,20.0,,,,,,,,,,,,,,,29,1893,2146,20.0,,,,,,,,,,,,,,,1.0,1.012150026413101,0.994408201304753,1.0,X11,1431,X03,1301
15,1985,136,N,0,False,1345,1120,58,59,,,,,,,,,,,,,,,25,1633,1728,17.0,,,,,,,,,,,,,,,29,1933,2040,18.0,,,,,,,,,,,,,,,0.8620689655172413,0.8448008277289187,0.8470588235294118,0.9444444444444444,Z06,1345,Z11,1120
